energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.95,0.589,161.451,0.101,0.00911,0.0686,0.564,207936,-3.82,0.215,Suffer With Me,líue,https://open.spotify.com/track/3nfj9Fdbl30TvcZE9sU0Vx,3nfj9Fdbl30TvcZE9sU0Vx,Angry
0.868,0.342,158.124,0.0607,5.3e-05,3.87e-05,0.443,254533,-4.838,0.523,In Bloom - Remastered,Nirvana,https://open.spotify.com/track/47596JGo5zmiOBTmaclsPt,47596JGo5zmiOBTmaclsPt,Angry
0.85,0.356,89.206,0.093,0.000571,0.0439,0.667,173577,-6.249,0.505,Keep It Tucked,ThxSoMch,https://open.spotify.com/track/1EdQCb51lC8usq47IMhADP,1EdQCb51lC8usq47IMhADP,Angry
0.779,0.119,103.004,0.0546,0.0243,0.839,0.683,219818,-6.324,0.136,Mercenary,F.O.O.L,https://open.spotify.com/track/6I7FFkcXS58luQoYLzPHi3,6I7FFkcXS58luQoYLzPHi3,Angry
0.971,0.0669,149.993,0.0611,0.0136,0.892,0.598,115055,-4.926,0.549,Untitled #13,glwzbll,https://open.spotify.com/track/1YXV3fSpNgxXSfhsEgRmtb,1YXV3fSpNgxXSfhsEgRmtb,Angry
0.886,0.312,102.073,0.0424,0.0105,0.892,0.425,136471,-4.604,0.147,Black Diamond,JVLIAH,https://open.spotify.com/track/2y4uALh6kU3nATtBru3Tvk,2y4uALh6kU3nATtBru3Tvk,Angry
0.624,0.132,82.516,0.0682,0.00859,0.0178,0.413,139652,-10.353,0.0814,help_urself,Ezekiel,https://open.spotify.com/track/6bxKECVRnkLmtpeU22Ve9p,6bxKECVRnkLmtpeU22Ve9p,Angry
0.965,0.0911,113.015,0.0665,0.00077,0.802,0.604,101947,-2.812,0.0469,BL00D,Owl Vision,https://open.spotify.com/track/2BtNKxwH22ym0YDPiqVeuM,2BtNKxwH22ym0YDPiqVeuM,Angry
0.617,0.734,149.962,0.442,0.113,0.0,0.808,166400,-9.32,0.632,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,74lnM5V6ecvoTPV0fvptx9,Angry
0.29,0.107,130.083,0.428,0.074,0.0,0.952,163385,-11.459,0.394,E-ER (feat. Lil Yachty),DJ Scheme,https://open.spotify.com/track/4N7i6RfJXMWfkx9Zr6pzkJ,4N7i6RfJXMWfkx9Zr6pzkJ,Angry
