energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.888,0.306,144.111,0.0987,0.000455,0.0,0.426,191520,-3.72,0.387,Throne,Bring Me The Horizon,https://open.spotify.com/track/0M3adYbGtyRHACP86dey1H,0M3adYbGtyRHACP86dey1H,Angry
0.835,0.0795,84.858,0.0911,0.0583,2.87e-06,0.688,230493,-4.162,0.88,Remember the Name (feat. Styles of Beyond),Fort Minor,https://open.spotify.com/track/6ndmKwWqMozN2tcZqzCX4K,6ndmKwWqMozN2tcZqzCX4K,Angry
0.953,0.105,109.952,0.075,3.47e-05,2.02e-05,0.503,199949,-4.98,0.224,Dead To Me,From Ashes to New,https://open.spotify.com/track/77wSM48dw3GQY7ylaJB3GH,77wSM48dw3GQY7ylaJB3GH,Angry
0.971,0.337,125.996,0.107,9.04e-05,0.0197,0.574,209762,-3.868,0.459,Crash N Burn,Above Snakes,https://open.spotify.com/track/2JNBea8tDU4sNMFJAOpaCu,2JNBea8tDU4sNMFJAOpaCu,Angry
0.886,0.113,173.965,0.25,0.000645,0.0,0.358,213000,-4.48,0.238,Struggle Made Me Stronger,Fearless Motivation,https://open.spotify.com/track/3vMtLNMANvkPuDthcLuQzJ,3vMtLNMANvkPuDthcLuQzJ,Angry
0.956,0.455,110.042,0.0675,2.32e-05,0.0,0.49,179187,-4.249,0.412,Black Hole,We Came As Romans,https://open.spotify.com/track/1g5Jqwo02PuitYfv19B6Jn,1g5Jqwo02PuitYfv19B6Jn,Angry
0.777,0.227,96.986,0.094,0.00323,0.0,0.642,214400,-4.809,0.413,Can't Be Touched (feat. Mr. Magic & Trouble),Roy Jones Jr.,https://open.spotify.com/track/3zmduBNsQ6BPDTZAkXzG5K,3zmduBNsQ6BPDTZAkXzG5K,Angry
0.967,0.282,169.924,0.185,3.38e-05,1.98e-06,0.397,206000,-2.982,0.431,Terrified,Versus Me,https://open.spotify.com/track/0wCT2ivXYnHssIDf2n3LV6,0wCT2ivXYnHssIDf2n3LV6,Angry
0.837,0.124,109.996,0.0413,8.64e-05,4.95e-06,0.494,228267,-5.406,0.358,Darkbloom,We Came As Romans,https://open.spotify.com/track/0v3UwgJhdNCaEIMyuaoqyt,0v3UwgJhdNCaEIMyuaoqyt,Angry
0.785,0.155,170.083,0.0812,0.00219,0.0408,0.377,230000,-7.891,0.136,Remember Why You Started,Fearless Motivation,https://open.spotify.com/track/2siqSsVoviIIkwb9D4A9wj,2siqSsVoviIIkwb9D4A9wj,Angry
0.96,0.332,95.531,0.106,0.000227,5.77e-06,0.46,187836,-5.223,0.451,Nightmare,From Ashes to New,https://open.spotify.com/track/5c3fIHmLHmL4iaqUuqBPHo,5c3fIHmLHmL4iaqUuqBPHo,Angry
0.836,0.103,165.902,0.32,0.226,0.0,0.709,189416,-5.55,0.706,Ready for War,T. Powell,https://open.spotify.com/track/5aZceoAnPoEdxwFaim3jqf,5aZceoAnPoEdxwFaim3jqf,Angry
0.945,0.0661,77.041,0.0714,0.0015,2.84e-05,0.444,222568,-6.389,0.333,Drowned in Emotion,Caskets,https://open.spotify.com/track/5nxcR7W60CU3cvmGX1jBzQ,5nxcR7W60CU3cvmGX1jBzQ,Angry
0.972,0.119,196.213,0.0951,0.000364,0.0,0.348,241720,-3.144,0.652,Anthem Of The Lonely,Nine Lashes,https://open.spotify.com/track/1bKRtH1leT7y003VikaXUc,1bKRtH1leT7y003VikaXUc,Angry
0.937,0.216,128.059,0.0867,0.0207,0.0,0.547,204160,-2.694,0.5,Levitate,Hollywood Undead,https://open.spotify.com/track/0KFzRf6TuI1AqE9xdQep21,0KFzRf6TuI1AqE9xdQep21,Angry
0.967,0.336,142.018,0.0995,0.00791,0.0,0.533,186813,-2.543,0.782,Hero,Skillet,https://open.spotify.com/track/0sdeLSxygcjyMyWPhZBdFs,0sdeLSxygcjyMyWPhZBdFs,Angry
0.818,0.675,99.942,0.0813,0.00186,0.0,0.574,174283,-5.452,0.644,War,Story Of The Year,https://open.spotify.com/track/1ED1SD4TRK5NprtJ837Eaa,1ED1SD4TRK5NprtJ837Eaa,Angry
0.931,0.104,124.903,0.159,0.0438,0.0,0.673,205000,-4.569,0.603,Black Sheep,Fearless Motivation,https://open.spotify.com/track/1ladUBaxXxpJyPxO5Rp7BG,1ladUBaxXxpJyPxO5Rp7BG,Angry
0.958,0.119,164.072,0.0997,0.000225,4.71e-05,0.412,224421,-5.432,0.341,Glass Heart,Caskets,https://open.spotify.com/track/1nxbn0COjeyH7MQZ27T3CR,1nxbn0COjeyH7MQZ27T3CR,Angry
0.976,0.112,116.013,0.0818,4.18e-06,1.76e-06,0.49,219347,-3.337,0.529,Golden,We Came As Romans,https://open.spotify.com/track/4ptzVhD7TWh4aBkhWEzz0o,4ptzVhD7TWh4aBkhWEzz0o,Angry
0.972,0.213,74.99,0.196,0.000994,0.0,0.498,201340,-3.443,0.334,My Fight,From Ashes to New,https://open.spotify.com/track/5HDG2PPLki6wowJvZbAH9d,5HDG2PPLki6wowJvZbAH9d,Angry
0.871,0.246,119.149,0.281,0.0388,0.0,0.615,249560,-3.804,0.338,Fast Lane,Bad Meets Evil,https://open.spotify.com/track/2c5Isyd07hWsl7AQia2Dig,2c5Isyd07hWsl7AQia2Dig,Angry
